query_id,oracle_arm,oracle_runtime,default_runtime,default_regret
job_25b,no_mergejoin,261.598,270.57366666666667,8.975666666666655
job_25c,default,4991.839,4991.839,0.0
job_26a,no_hashjoin,1563.101,9677.823,8114.722
job_26b,no_hashjoin,136.067,173.48933333333332,37.42233333333331
job_26c,no_hashjoin,3258.7496666666666,4406.073333333333,1147.3236666666662
job_27a,no_mergejoin,73.37599999999999,76.923,3.5470000000000113
job_27b,no_mergejoin,12.135333333333334,16.421666666666667,4.286333333333333
job_27c,no_hashjoin,31.92566666666666,47.78333333333333,15.85766666666667
job_28a,default,749.3683333333333,749.3683333333333,0.0
job_28b,no_hashjoin,201.83333333333331,355.4666666666667,153.63333333333338
job_28c,default,323.52566666666667,323.52566666666667,0.0
job_29a,no_mergejoin,27.883,147.99366666666666,120.11066666666666
job_29b,no_hashjoin,12.823666666666666,60.15266666666667,47.329
job_29c,no_mergejoin,62.74966666666666,3395.619,3332.8693333333335
job_2a,no_hashjoin,550.3683333333333,567.3316666666667,16.963333333333367
job_2b,default,496.981,496.981,0.0
job_2c,no_mergejoin,497.7553333333333,500.3413333333333,2.5860000000000127
job_2d,no_hashjoin,607.062,753.4456666666666,146.3836666666666
job_30a,no_hashjoin,2060.6766666666667,2728.460333333333,667.7836666666662
job_30b,default,314.404,314.404,0.0
job_30c,no_mergejoin,2991.2316666666666,3634.4036666666666,643.172
job_31a,no_mergejoin,1636.7676666666666,1684.4556666666667,47.6880000000001
job_31b,default,308.111,308.111,0.0
job_31c,no_hashjoin,1474.9783333333332,1760.4853333333333,285.50700000000006
job_32a,no_hashjoin,11.734333333333334,13.559666666666667,1.825333333333333
job_32b,default,97.19933333333334,97.19933333333334,0.0
job_33a,no_hashjoin,66.398,124.591,58.193
job_33b,default,24.014333333333337,24.014333333333337,0.0
job_33c,default,240.9923333333333,240.99233333333333,2.842170943040401e-14
job_3a,default,116.92633333333332,116.92633333333333,1.4210854715202004e-14
job_3b,default,83.04333333333334,83.04333333333334,0.0
job_3c,no_hashjoin,226.08633333333333,229.17,3.083666666666659
job_4a,no_mergejoin,85.90066666666667,87.363,1.4623333333333335
job_4b,no_hashjoin,61.09433333333334,73.11233333333332,12.017999999999986
job_4c,no_mergejoin,92.94633333333331,103.01533333333333,10.069000000000017
job_5a,no_mergejoin,223.6526666666667,251.03133333333335,27.378666666666646
job_5b,no_mergejoin,270.469,305.7943333333333,35.32533333333333
job_5c,no_mergejoin,407.1236666666666,434.87100000000004,27.747333333333415
job_6a,no_hashjoin,18.094666666666665,20.68166666666667,2.5870000000000033
job_6b,no_hashjoin,174.28233333333333,174.92766666666668,0.6453333333333546
job_6c,no_mergejoin,10.292666666666667,10.776000000000002,0.4833333333333343
job_6d,no_nestloop,4150.216333333333,4432.376333333334,282.16000000000076
job_6e,no_mergejoin,17.564,18.002,0.43799999999999883
job_6f,no_hashjoin,4493.201666666667,5010.874333333333,517.6726666666664
job_7a,no_hashjoin,780.5456666666665,862.4733333333334,81.92766666666682
job_7b,no_hashjoin,235.52566666666667,255.17066666666668,19.64500000000001
job_7c,default,3263.748,3263.748,0.0
job_8a,no_mergejoin,1322.0003333333334,1423.268,101.26766666666663
job_8b,no_hashjoin,266.7056666666667,276.76366666666667,10.057999999999993
job_8c,default,5594.967333333334,5594.967333333334,0.0
job_8d,default,3509.9433333333327,3509.943333333333,4.547473508864641e-13
job_9a,no_hashjoin,453.7316666666666,479.11133333333333,25.379666666666708
job_9b,no_mergejoin,1757.1633333333332,1799.9443333333336,42.781000000000404
job_9c,no_hashjoin,623.1316666666667,1127.5126666666667,504.3810000000001
job_9d,no_mergejoin,3862.975333333333,4157.868333333333,294.89300000000003
