"query_id","arm","runtime_ms","node_type","startup_cost","total_cost","plan_rows","plan_width","actual_rows","actual_total_time","oracle_arm","oracle_runtime","regret_ms"
"job_8c","no_mergejoin","5583.069","Aggregate","527971.17","527971.18","1","64","1","5578.131","default","5594.967333333334","-11.89833333333354"
"job_8c","no_mergejoin","6119.209","Aggregate","527971.17","527971.18","1","64","1","6114.149","default","5594.967333333334","524.2416666666659"
"job_28a","no_mergejoin","5246.807","Aggregate","7465.72","7465.73","1","96","1","5246.66","default","749.3683333333333","4497.438666666667"
"job_28a","no_mergejoin","5266.448","Aggregate","7465.72","7465.73","1","96","1","5266.336","default","749.3683333333333","4517.0796666666665"
"job_28a","no_mergejoin","5274.875","Aggregate","7465.72","7465.73","1","96","1","5274.758","default","749.3683333333333","4525.506666666666"
"job_28a","no_nestloop","3074.588","Aggregate","468368.01","468368.02","1","96","1","3064.64","default","749.3683333333333","2325.219666666667"
"job_28a","no_nestloop","3008.32","Aggregate","468368.01","468368.02","1","96","1","2998.546","default","749.3683333333333","2258.951666666667"
"job_28a","no_nestloop","3195.328","Aggregate","468368.01","468368.02","1","96","1","3184.982","default","749.3683333333333","2445.9596666666666"
"job_6f","no_nestloop","6834.782","Aggregate","651387.9","651387.91","1","96","1","6830.079","no_hashjoin","4493.201666666667","2341.5803333333333"
"job_28a","default","746.566","Aggregate","7465.57","7465.58","1","96","1","746.315","default","749.3683333333333","-2.8023333333333085"
"job_28a","default","737.997","Aggregate","7465.57","7465.58","1","96","1","737.711","default","749.3683333333333","-11.371333333333382"
"job_28a","default","763.542","Aggregate","7465.57","7465.58","1","96","1","763.26","default","749.3683333333333","14.17366666666669"
"job_28a","no_hashjoin","907.241","Aggregate","7465.56","7465.57","1","96","1","907.097","default","749.3683333333333","157.87266666666665"
"job_28a","no_hashjoin","1021.556","Aggregate","7465.56","7465.57","1","96","1","1021.373","default","749.3683333333333","272.1876666666667"
"job_28a","no_hashjoin","1333.696","Aggregate","7465.56","7465.57","1","96","1","1333.478","default","749.3683333333333","584.3276666666666"
"job_24b","no_nestloop","6879.826","Aggregate","1031118.22","1031118.23","1","96","1","6867.711","no_hashjoin","39.75133333333333","6840.074666666666"
"job_6a","no_mergejoin","24.012","Aggregate","3866.75","3866.76","1","96","1","23.91","no_hashjoin","18.094666666666665","5.917333333333335"
"job_24b","no_nestloop","5451.715","Aggregate","1031118.22","1031118.23","1","96","1","5441.369","no_hashjoin","39.75133333333333","5411.9636666666665"
"job_24b","no_nestloop","5552.563","Aggregate","1031118.22","1031118.23","1","96","1","5543.051","no_hashjoin","39.75133333333333","5512.8116666666665"
"job_24b","default","40.818","Aggregate","6514.65","6514.66","1","96","1","40.708","no_hashjoin","39.75133333333333","1.06666666666667"
"job_24b","default","49.751","Aggregate","6514.65","6514.66","1","96","1","49.63","no_hashjoin","39.75133333333333","9.99966666666667"
"job_6f","no_nestloop","6410.33","Aggregate","651387.9","651387.91","1","96","1","6405.55","no_hashjoin","4493.201666666667","1917.128333333333"
"job_24b","default","55.411","Aggregate","6514.65","6514.66","1","96","1","55.267","no_hashjoin","39.75133333333333","15.659666666666674"
"job_24b","no_mergejoin","47.309","Aggregate","6514.65","6514.66","1","96","1","47.191","no_hashjoin","39.75133333333333","7.55766666666667"
"job_24b","no_mergejoin","38.24","Aggregate","6514.65","6514.66","1","96","1","38.12","no_hashjoin","39.75133333333333","-1.5113333333333259"
"job_24b","no_mergejoin","48.284","Aggregate","6514.65","6514.66","1","96","1","48.167","no_hashjoin","39.75133333333333","8.532666666666671"
"job_6f","no_hashjoin","4517.335","Aggregate","15195.42","15195.43","1","96","1","4517.286","no_hashjoin","4493.201666666667","24.133333333333212"
"job_24b","no_hashjoin","42.74","Aggregate","6514.55","6514.56","1","96","1","42.628","no_hashjoin","39.75133333333333","2.988666666666674"
"job_24b","no_hashjoin","38.623","Aggregate","6514.55","6514.56","1","96","1","38.518","no_hashjoin","39.75133333333333","-1.1283333333333303"
"job_24b","no_hashjoin","37.891","Aggregate","6514.55","6514.56","1","96","1","37.79","no_hashjoin","39.75133333333333","-1.8603333333333296"
"job_6f","default","4595.062","Aggregate","15195.42","15195.43","1","96","1","4595.013","no_hashjoin","4493.201666666667","101.86033333333307"
